priorite;score;nom;siren;code_naf;ville;code_postal;departement;region;adresse;ca_eur;annee_comptes;resultat_net_eur;effectif_tranche;annee_effectif;annee_creation;anciennete_ans;dirigeant_principal;age_dirigeant_max;nb_etablissements_ouverts;categorie_insee;site_web_probable;email_contact;signaux_site;signaux_faible_digitalisation;offres_emploi_admin;linkedin;url_source_registre;url_source_api
A;8;TELENET (R. TRIBHOU);338834500;81.21Z;AUBERVILLIERS;93300;93;Île-de-France;44 RUE DU PORT 93300 AUBERVILLIERS;1497628;2022;3865;20 à 49;2023;1986;40;Valerie Frydlender (59 ans, Gérant);59;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/338834500;https://recherche-entreprises.api.gouv.fr/search?q=338834500
A;8;SECURI-NET;382808228;81.21Z;THOIRY;78770;78;Île-de-France;3 RUE DES VIGNETTES 78770 THOIRY;1373515;2025;-2014;20 à 49;2023;1991;35;Francis Dupre (55 ans, Président de SAS);55;1;PME;https://www.securi-net.fr;securinet@wanadoo.fr;site récent (https+responsive);"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/382808228;https://recherche-entreprises.api.gouv.fr/search?q=382808228
A;8;G.J.M. SERVICE NET;487825895;81.21Z;AULNAY-SOUS-BOIS;93600;93;Île-de-France;35 RUE RAPHAEL 93600 AULNAY-SOUS-BOIS;1354490;2024;-7349;20 à 49;2023;2005;21;"Jose Manuel Goncalves (57 ans, Gérant); Jose Goncalves (57 ans, Gérant)";57;1;PME;https://www.gjmservicenet.com;n/d;"commande/devis en ligne; formulaire de contact; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/487825895;https://recherche-entreprises.api.gouv.fr/search?q=487825895
A;8;PLB SERVICES (PLBS) (PLBS);415390111;81.21Z;LE COUDRAY-MONTCEAUX;91830;91;Île-de-France;16 RUE DE BOULIGNEAU 91830 LE COUDRAY-MONTCEAUX;1345940;2024;93109;10 à 19;2023;1998;28;Abdelilah Belrali (64 ans, Gérant);64;1;PME;https://www.plbservices.fr;n/d;site récent (https+responsive);"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/415390111;https://recherche-entreprises.api.gouv.fr/search?q=415390111
A;8;JACQUES CLEMENT;390092773;81.29B;COUPVRAY;77700;77;Île-de-France;37 RUE D'ESBLY 77700 COUPVRAY;1341214;2025;72304;10 à 19;2023;1993;33;Ouali Rezkallah (60 ans, Directeur Général);60;1;PME;https://www.jacques-clement.com/fr/index;n/d;site récent (https+responsive);"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/390092773;https://recherche-entreprises.api.gouv.fr/search?q=390092773
A;8;ALPHA NET;808243661;81.22Z;CLICHY-SOUS-BOIS;93390;93;Île-de-France;18 ALLEE DE RECY 93390 CLICHY-SOUS-BOIS;1294184;2024;1719;20 à 49;2023;2015;11;"Benjamin Khon (60 ans, Gérant); Benjamin Kohn (60 ans, Gérant)";60;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/808243661;https://recherche-entreprises.api.gouv.fr/search?q=808243661
A;8;HALLS SERVICES (HALLS SERVICES);532145380;81.21Z;BOULOGNE-BILLANCOURT;92100;92;Île-de-France;1 RUE RIEUX 92100 BOULOGNE-BILLANCOURT;1198031;2023;112395;20 à 49;2023;2011;15;Salvador Galvez (61 ans, Président de SAS);61;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/532145380;https://recherche-entreprises.api.gouv.fr/search?q=532145380
A;8;ACANTA;425056835;81.21Z;SAINT-DENIS;93200;93;Île-de-France;34 B BOULEVARD ORNANO 93200 SAINT-DENIS;1089380;2023;-55217;10 à 19;2023;1999;27;Soryani Henriquez (66 ans, Gérant);66;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/425056835;https://recherche-entreprises.api.gouv.fr/search?q=425056835
A;8;SOCIETE EXPLOITATION SAMNET;302221403;81.21Z;DRAGUIGNAN;83300;83;Provence-Alpes-Côte d'Azur;109 RUE JEAN AICARD 83300 DRAGUIGNAN;1451840;2025;39630;20 à 49;2023;1975;51;Frederic Lionel Devalle (63 ans, Gérant);63;2;ETI;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/302221403;https://recherche-entreprises.api.gouv.fr/search?q=302221403
A;7;VAL HORIZON;578200776;81.22Z;MONTLIGNON;95680;95;Île-de-France;LES PLATRIERS RUE DE PARIS 95680 MONTLIGNON;2213130;2024;600084;10 à 19;2023;1957;69;"Bertrand Charles Marie Alban Chauveau De Quercize (57 ans, Président de SAS); Jean-Yves Mercier (58 ans, Directeur général délégué)";58;4;GE;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/578200776;https://recherche-entreprises.api.gouv.fr/search?q=578200776
A;7;SERVICES NETTOYAGE (SERVICES NETTOYAGE);800709438;81.22Z;PARIS;75016;75;Île-de-France;36 RUE CLAUDE TERRASSE 75016 PARIS;1530083;2021;174155;10 à 19;2023;2014;12;"Antonio Cerqueira (63 ans, Gérant); Domingos Cerqueira (71 ans, Gérant)";71;1;PME;https://www.services-nettoyage.fr;n/d;site récent (https+responsive);"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/800709438;https://recherche-entreprises.api.gouv.fr/search?q=800709438
A;7;OFFICE TECHNIQUE D HYGIENE (OTH);732059829;81.29A;GENNEVILLIERS;92230;92;Île-de-France;13 A 21 13 QUAI DES GRESILLONS 92230 GENNEVILLIERS;1385261;2024;14752;10 à 19;2023;1973;53;Franck Chartrain (56 ans, Gérant);56;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/732059829;https://recherche-entreprises.api.gouv.fr/search?q=732059829
A;7;FIIL;492479233;81.21Z;PARIS;75017;75;Île-de-France;2 RUE DU DOBROPOL 75017 PARIS;1168094;2025;87862;10 à 19;2023;2006;20;"Manuel Dos Santos Antunes (58 ans, Gérant); Manuel Filipe Dos Santos Antunes (58 ans, Gérant)";58;1;PME;https://fiil.fr/;services@fiil.fr;"formulaire de contact; site récent (https+responsive)";"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/492479233;https://recherche-entreprises.api.gouv.fr/search?q=492479233
A;7;PAGARDIM;814746038;81.10Z;PARIS;75015;75;Île-de-France;91 AVENUE FELIX FAURE 75015 PARIS;1046313;2024;1029;10 à 19;2023;2015;11;"Bertrand Clerc (49 ans, Autre); Erwan Dupuy (53 ans, Autre); Bertrand Philippe Luis William Esposito (61 ans, Autre)";61;3;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/814746038;https://recherche-entreprises.api.gouv.fr/search?q=814746038
A;7;PIKEM SERVICES;303409734;81.21Z;PARIS;75017;75;Île-de-France;11 A 13 11 RUE BARON 75017 PARIS;996994;2025;15076;20 à 49;2023;1975;51;Pierre Heijmanns (79 ans, Gérant);79;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/303409734;https://recherche-entreprises.api.gouv.fr/search?q=303409734
A;7;FRACEJEA;333709806;81.21Z;ALFORTVILLE;94140;94;Île-de-France;51 RUE VERON 94140 ALFORTVILLE;966963;2023;34660;20 à 49;2023;1985;41;Marcel Troquier (70 ans, Gérant);70;1;ETI;https://fracejea.com;web@idemo93.fr;"formulaire de contact; site récent (https+responsive)";"pas d'espace client détecté ; pas de devis/commande en ligne détecté";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/333709806;https://recherche-entreprises.api.gouv.fr/search?q=333709806
A;7;GROUPE TP SERVICE (TPS);353159643;81.21Z;PARIS;75017;75;Île-de-France;42 RUE BOURSAULT 75017 PARIS;925623;2025;49369;20 à 49;2023;1989;37;Michel Ben Hamouda (66 ans, Gérant);66;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/353159643;https://recherche-entreprises.api.gouv.fr/search?q=353159643
A;7;ASSISTANCE CONSEIL PROPRETE;410567549;81.21Z;CLICHY;92110;92;Île-de-France;75 RUE D'ALSACE 92110 CLICHY;885095;2025;8058;20 à 49;2023;1997;29;Pedro Fuentes Madrinan (76 ans, Gérant);76;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/410567549;https://recherche-entreprises.api.gouv.fr/search?q=410567549
A;7;LIMPO;391343183;81.21Z;VERSAILLES;78000;78;Île-de-France;99 BOULEVARD DE LA REINE 78000 VERSAILLES;868494;2021;95647;20 à 49;2023;1993;33;"Antonio De Barros Cerqueira (63 ans, Président de SAS); Antonio Jose De Barros Cerqueira (63 ans, Président de SAS); Francoise Lafont (68 ans, Gérant)";68;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/391343183;https://recherche-entreprises.api.gouv.fr/search?q=391343183
A;7;EUROLYS (EUROLYS);430197756;81.21Z;CLICHY;92110;92;Île-de-France;34 RUE CASTERES 92110 CLICHY;n/d;n/d;n/d;20 à 49;2023;2000;26;"Silvia Libert (52 ans, Président de SAS); Maria Bayon De La Parra (76 ans, None)";76;2;PME;https://www.eurolys.fr;contact@eurolys.fr;"commande/devis en ligne; formulaire de contact; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/430197756;https://recherche-entreprises.api.gouv.fr/search?q=430197756
A;7;CLEAN ALEXANDRE;440830610;81.21Z;SAINT-GERMAIN-SUR-MORIN;77860;77;Île-de-France;49 E CHEMIN DES BOULANGERS 77860 SAINT-GERMAIN-SUR-MORIN;n/d;n/d;n/d;20 à 49;2023;2002;24;"Cyril Alexandre (39 ans, Autre); Didier Alexandre (69 ans, Directeur Général)";69;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/440830610;https://recherche-entreprises.api.gouv.fr/search?q=440830610
A;7;NETTOYAGE GENERAL SERVICES (NETTOYAGE GENERAL SERVICES - NGS);432014082;81.21Z;BAILLY-ROMAINVILLIERS;77700;77;Île-de-France;BATIMENT V4 28 AVENUE CHRISTIAN DOPPLER 77700 BAILLY-ROMAINVILLIERS;n/d;n/d;n/d;20 à 49;2023;2000;26;"Cedric Andre Julien Leneveu (51 ans, Président de SAS); Thierry Swiatek (64 ans, Gérant)";64;1;PME;https://www.nettoyagegeneral.fr;contact@nettoyagegeneral.fr;"formulaire de contact; fax affiché; site récent (https+responsive)";"pas d'espace client détecté ; pas de devis/commande en ligne détecté ; fax encore affiché";n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/432014082;https://recherche-entreprises.api.gouv.fr/search?q=432014082
A;7;THIERRY GRELARD (AVEC S.O.I.N.S.);341213247;81.21Z;NANTERRE;92000;92;Île-de-France;24 RUE LAVOISIER 92000 NANTERRE;n/d;n/d;n/d;20 à 49;2023;1987;39;Thierry Grelard (65 ans, None);65;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/341213247;https://recherche-entreprises.api.gouv.fr/search?q=341213247
A;7;ABCP NETTOYAGE (ABCP N);507501021;81.21Z;NICE;06000;06;Provence-Alpes-Côte d'Azur;11 RUE ROUGET DE LISLE 06000 NICE;1340742;2021;171764;20 à 49;2023;2008;18;Jean Francois Helfer (64 ans, Gérant);64;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/507501021;https://recherche-entreprises.api.gouv.fr/search?q=507501021
A;6;TECNIKA;442457826;81.21Z;CLICHY;92110;92;Île-de-France;68 RUE VILLENEUVE 92110 CLICHY;5861371;2025;1195791;20 à 49;2023;2002;24;"Dani Barbosa Araujo (53 ans, Gérant); Jose Pina (56 ans, Gérant)";56;2;ETI;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/442457826;https://recherche-entreprises.api.gouv.fr/search?q=442457826
A;6;IZINET SARL (STAFOTEL);818566010;81.21Z;LEVALLOIS-PERRET;92300;92;Île-de-France;64 RUE ANATOLE FRANCE 92300 LEVALLOIS-PERRET;1562181;2025;410364;10 à 19;2023;2016;10;Mohamad El Malla (56 ans, Gérant);56;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/818566010;https://recherche-entreprises.api.gouv.fr/search?q=818566010
A;6;SDI VENTILATION VDF;539852970;81.22Z;LES MUREAUX;78130;78;Île-de-France;ZAC DES GARENNES 4 RUE PAUL LANGEVIN 78130 LES MUREAUX;1366310;2024;-38764;10 à 19;2023;2012;14;Hakim Mazouni (57 ans, Gérant);57;4;PME;https://www.sdiventilation.com/;n/d;"commande/devis en ligne; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/539852970;https://recherche-entreprises.api.gouv.fr/search?q=539852970
A;6;ALLIANCE VIE LONGJUMEAU;524232642;81.21Z;LONGJUMEAU;91160;91;Île-de-France;69 RUE PDT FRANCOIS MITTERRAND 91160 LONGJUMEAU;921046;2024;34414;20 à 49;2023;2010;16;Rene Dumay (63 ans, Gérant);63;1;ETI;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/524232642;https://recherche-entreprises.api.gouv.fr/search?q=524232642
A;6;E K M;818765125;81.21Z;PARIS;75001;75;Île-de-France;231 RUE SAINT-HONORE 75001 PARIS;847170;2024;-20043;20 à 49;2023;2016;10;Kouadio Moise Ekra (63 ans, Gérant);63;1;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/818765125;https://recherche-entreprises.api.gouv.fr/search?q=818765125
A;6;SOCIETE GENERALE DES SERVICES ET DE PRESTATIONS (SGSP);414647610;81.22Z;PARIS;75018;75;Île-de-France;40 RUE DU PROFESSEUR GOSSET 75018 PARIS;812954;2021;70991;10 à 19;2023;1997;29;Jean-Paul Djoumessi Nimpa (74 ans, Gérant);74;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/414647610;https://recherche-entreprises.api.gouv.fr/search?q=414647610
A;6;CLEAN ELITE;799545199;81.21Z;COLOMBES;92700;92;Île-de-France;101 AVENUE HENRI BARBUSSE 92700 COLOMBES;n/d;n/d;n/d;20 à 49;2023;2013;13;"Momirka Petkovic (63 ans, Président de SAS); Diana Stankovic (31 ans, Gérant)";63;2;PME;https://www.cleanelite.fr;cleanelite@bbox.fr;"commande/devis en ligne; site récent (https+responsive)";pas d'espace client détecté;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/799545199;https://recherche-entreprises.api.gouv.fr/search?q=799545199
A;6;N E I;301482410;81.21Z;CHAMPIGNY-SUR-MARNE;94500;94;Île-de-France;296 RUE DU PROFESSEUR PAUL MILLIEZ 94500 CHAMPIGNY-SUR-MARNE;n/d;n/d;n/d;10 à 19;2023;1975;51;"Jean Marc Mazard (63 ans, Gérant); Jean-Marc Mazard (63 ans, Gérant)";63;2;PME;n/d;n/d;n/d;aucun site trouvé par sondage de domaine — signal de faible digitalisation à confirmer manuellement;n/d (non collecté : Indeed/WTTJ/France Travail bloquent la collecte automatisée);n/d (recherche manuelle : linkedin.com/company + nom);https://annuaire-entreprises.data.gouv.fr/entreprise/301482410;https://recherche-entreprises.api.gouv.fr/search?q=301482410
