source;url;ref;date;activite;secteur;naf;region;ca;ebe;effectif;prix;raison;dependance;doublon_probable;notes
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18813;N°18813;;Bureau d'études ingénierie et machines spéciales;Bureau d'études / ingénierie / diagnostics;7490B - Autres activités spécialisées, scientifiques et techniques;Grand Est;2800000;;;1900000;Retraite;;;Cette entreprise qui sert un marché de niche mondial, est appréciée de ses clients industriels pour la compréhension de leur métier, la qualité de ses réalisations et son service après-vente. Elle conviendrait à un repreneur de formation technique. Bénéficiant d’une solide expérience à l’international et à l’aise en langue anglaise, il s’occupera de la vente, de la prospection et de la relation cl
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18810;N°18810;;Entreprise familiale de plomberie, chauffage, climatisation;Bâtiment / travaux publics / second œuvre;;Normandie;1200000;;;380000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18809;N°18809;;Société d’étude et réalisation d’équipements techniques;Autres / non classé;;Île-de-France;935166;;;250000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18808;N°18808;;Boulangerie Industrielle;HCR / restauration / tourisme / loisirs;;Occitanie;2300000;;;1700000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18807;N°18807;;Entreprise de biotechnologie, leader sur son marché;Autres / non classé;;;357000;;;340000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18806;N°18806;;Bureau d'ingénierie et études techniques charpentes, diagnostics solidités structures.;Bureau d'études / ingénierie / diagnostics;"7112B - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";Bretagne;744307;;;990000;Retraite;;;il s'agit d'un bureau d'Ingénierie – Etudes techniques pour les charpentes bois, acier, aluminium, béton – études de fondations – dimensionnement d’ouvrages d’art, silos – diagnostic de solidité structures – structures de panneaux solaires, trackers…
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18805;N°18805;;Chantier naval en Bourgogne du Sud;Autres / non classé;;Bourgogne-Franche-Comté;1007385;;;;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18804;N°18804;;Entreprise de serrurerie chaudronnerie;Bâtiment / travaux publics / second œuvre;;Centre-Val de Loire;731156;;;340000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18803;N°18803;;Conception et fabrication de machines textiles sur mesure;Industrie / production / fabrication;;Auvergne-Rhône-Alpes;1379261;;;3300000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18802;N°18802;;Agence de trade marketing et supports de communication;Communication / marketing / édition / imprimerie / PLV;7311Z - Publicité et études de marché;Nouvelle-Aquitaine;4000000;;;2100000;Réorientation professionnelle;;;Depuis plus de 30 ans, la société est spécialisée dans la conception et la fabrication de supports de communication pour des marques nationales et internationales. Son savoir-faire lui permet d’être un acteur reconnu pour son expertise en design d'espaces et d'objets de communication, au service d'une clientèle de premier plan, notamment dans les secteurs du luxe, de l'optique et de l'Action Sport
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18801;N°18801;;Fabrication de coffrages bois et aluminium et usinage;Industrie / production / fabrication;;Pays de la Loire;3700000;;;1300000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18800;N°18800;;Opportunité de reprise – distribution B2B de produits alimentaires;Négoce / distribution B2B;4639A - Commerce de gros (commerce interentreprises) de produits surgelés;Provence-Alpes-Côte d'Azur;1673568;;;1100000;Retraite;;;TPE indépendante spécialisée dans la distribution de produits alimentaires auprès d'une clientèle professionnelle fidèle en restauration et traiteurs. Créée il y a plusieurs décennies, l'entreprise bénéficie d'une excellente réputation locale, d'une clientèle récurrente et d'un savoir-faire reconnu. Son organisation légère et sa structure financière saine lui permettent de générer des résultats po
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18799;N°18799;;Cabinet conseil en relations humaines;Recrutement / intérim / RH / paie;"7022Z - Activités des sièges sociaux ; conseil de gestion";Île-de-France;1038000;;;1100000;Retraite;;;Ce cabinet de conseil, de 8 salariés et 3 indépendants, est aujourd’hui reconnu comme un acteur historique du recrutement au service du secteur associatif. Ses activités principales sont le recrutement (77% du CA), les bilans de compétence (10%), le conseil (7%). Il s'appuie sur une très forte notoriété et des collaborateurs engagés. Sa situation financière est très saine et ses perspectives de dé
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18798;N°18798;;Distribution et fabrication de vêtements personnalisés;Négoce / distribution B2B;1419Z - Industrie de l'habillement;Pays de la Loire;1104000;;;750000;Réorientation professionnelle;;;Société créée en 2018, spécialisée dans la distribution B2B d'équipements de protection individuelle (EPI) et de vêtements de travail et d'images personnalisées, avec un atelier intégré de broderie et de transfert. 190 clients actifs, 95 % de chiffre d'affaire récurrent, aucun endettement. Force de vente terrain en place, ADV, site marchand et e-shops dédiés par client. Entreprise saine et structu
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18797;N°18797;;Cède Fonds de Commerce - Produits alimentaires en bocaux recyclables;Autres / non classé;;Bourgogne-Franche-Comté;700000;;;170000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18796;N°18796;;Beau réseau de distribution d'articles de chasse et de pêche;Communication / marketing / édition / imprimerie / PLV;4618Z - Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;Bourgogne-Franche-Comté;1110000;;;225000;Changement de vie;;;Vente fonds de commerce à 225 000 euros plus stock à 700 000€: Très belle affaire de négoce de produits/accessoires et matériel pour la chasse et la pêche , en Bourgogne sud , 5 magasins , très bien implantée géographiquement dans une région de pêche et de chasse ( dept leader pour les cartes de péches et importantes pour les permis de chasse) , personnels autonomes et compétents, très beau positi
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18795;N°18795;;Expertise en optimisation des charges sociales;Recrutement / intérim / RH / paie;"7022Z - Activités des sièges sociaux ; conseil de gestion";Normandie;2000000;;;3500000;Retraite;;;Nous accompagnons des entreprises de toutes tailles et de tous secteurs d'activité dans l'analyse de leurs pratiques sur les charges sociales, la sécurisation de leurs dispositifs et la recherche d'optimisations souvent méconnues. Nos interventions concernent principalement les cotisations prélevées par les l'URSSAF, mais également avec d'autres organismes tels que CGSS ou la MSA Notre mission est
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18794;N°18794;;A vendre entreprise de plomberie;Bâtiment / travaux publics / second œuvre;;Provence-Alpes-Côte d'Azur;2575968;;;1400000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18793;N°18793;;Société spécialisée en agencement de bijouteries;Commerce de détail / e-commerce BtoC;;Auvergne-Rhône-Alpes;3200000;;;975000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18792;N°18792;;societe de nettoyage industriel;Propreté / nettoyage / multiservices;8122Z - Autres activités de nettoyage des bâtiments et nettoyage industriel;Auvergne-Rhône-Alpes;2200000;;;;Retraite;;;dossier présenté par intermédiaire. teaser en pièce jointe
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18791;N°18791;;Entreprise d'électricité générale - tous types de locaux;Bâtiment / travaux publics / second œuvre;;Auvergne-Rhône-Alpes;851210;;;400000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18790;N°18790;;Valorisation des dérivés du bois;Industrie / production / fabrication;;Auvergne-Rhône-Alpes;1400000;;;1200000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18789;N°18789;;Vente d'une pépite informatique;Services informatiques / ESN / éditeur de logiciel;6209Z - Programmation, conseil et autres activités informatiques;Auvergne-Rhône-Alpes;1900000;;;10000000;Autres activités en parallèle;;;Croissance 2026 : +25% vs 2025 , EBE = 44 % du CA sur le dernier exercice , 8 ans d'existence , 16 collaborateurs, la meilleure offre produit du marché à date . Une percée en Belgique et de nombreuses possibilités de déploiement en Europe pourraient intéresser un entrepreneur expérimenté en développement commercial à grande échelle.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18788;N°18788;;Distribution alimentaire haut de gamme dans un secteur spécialisé;Négoce / distribution B2B;1089Z - Industries alimentaires;Nouvelle-Aquitaine;1200000;;;550000;Changement de vie;;;Socitée de Distribution Alimentaire de Haute Qualitée dans le secteur animalier, chiens, chats, animaux de compagnie divers, chevaux, etc etc Vente de compléments alimentaires, vente d'articles spécifiques, vente de friandises ( gros secteur) Emplacement à faible concurrence, clientèle de particuliers fidèles. ( plus de 1500)
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18787;N°18787;;Fabrication artisanale et vente de boissons avec ou sans alcool;Industrie / production / fabrication;;Auvergne-Rhône-Alpes;1500000;;;18787;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18786;N°18786;;Menuiserie et charpente bois - Neuf & rénovation (cession des parts);Bâtiment / travaux publics / second œuvre;;Nouvelle-Aquitaine;1500000;;;680000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18785;N°18785;;PME d’ingénierie et distribution de produits techniques – Rhône-Alpes;Bureau d'études / ingénierie / diagnostics;"7112B - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques";Auvergne-Rhône-Alpes;1660331;;;1350000;Retraite;;;L'entreprise est une structure reconnue pour son expertise technique dans l’étude, la prescription, la conception, la fourniture et la mise en place de solutions de contrôle clefs en main et de distribution de produits à haute technicité. Rayonne au niveau national complété par des flux d'affaires à l'international. Grâce à une forte culture technique et un rôle clé de prescription en amont, la so
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18784;N°18784;;Cède entreprise d'affutage d'outillages coupants située Nord Bourgogne;Autres / non classé;;Bourgogne-Franche-Comté;640000;;;850000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18782;N°18782;;Stations-service : conception, installation et maintenance;Autres / non classé;;Nouvelle-Aquitaine;470000;;;250000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18780;N°18780;;Aménagement de la maison;Autres / non classé;;Pays de la Loire;894652;;;686000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18779;N°18779;;Distributeur indépendant de véhicules d'occasion;Négoce / distribution B2B;4520B - Commerce et réparation d'automobiles et de motocycles;Bourgogne-Franche-Comté;5600000;;;500000;Retraite;;;Entreprise familiale de référence, spécialisée dans la commercialisation de véhicules d'occasion toutes marques. Depuis plus de 60 ans, elle accompagne une clientèle de particuliers et de professionnels en proposant des véhicules rigoureusement sélectionnés, préparés et garantis. L'entreprise complète son offre par de nombreux services à valeur ajoutée : reprise de véhicules, financement, garantie
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18778;N°18778;;Commerce de peintures, papiers peints, revêtements de sols – 1 000 m2;Bâtiment / travaux publics / second œuvre;;Hauts-de-France;1139851;;;240000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18777;N°18777;;Ste propriétaire exploitante - blanchisserie industrielle Bretagne Sud;Propreté / nettoyage / multiservices;9601B - blanchisserie et teinture;Bretagne;878000;;;1300000;Autres activités en parallèle;;;Cession 100% titres d'une société située en Bretagne Sud (insulaire) ayant une activité de blanchisserie industrielle B to B. Bel outil de production respectueux de l'environnement. Perspectives immédiates tres importantes de développement.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18776;N°18776;;AFFAIRE USINAGE 42;Industrie / production / fabrication;;Auvergne-Rhône-Alpes;1500000;;;2500000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18775;N°18775;;Opportunité de croissance externe en petite mécanique industrielle;Industrie / production / fabrication;;Nouvelle-Aquitaine;87266;;;58000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18774;N°18774;;Ingénierie informatique;Services informatiques / ESN / éditeur de logiciel;6209Z - Programmation, conseil et autres activités informatiques;Île-de-France;862000;;;350000;Retraite;;;"ESN (assistance technique chez les clients, domaine développements en Informatique de gestion). Domaines de compétences: 1 - Data (ETL, dashboards): 4 personnes; 2 - Internet et IA (dot.net, PHP): 2 personnes ; 3 - CRM Salesforce: 2 personnes; 4 - AMOA/AMOE: 1 personne. Pas d'endettement, pas de charges type locaux ou voitures, dirigeant actuel salarié. Effectif stable, profils jeunes, diplômés et"
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18773;N°18773;;Restaurant bord de mer;HCR / restauration / tourisme / loisirs;;Hauts-de-France;1068000;;;750000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18771;N°18771;;Agence de Recouvrement de Créances en Bretagne;Conseil / expertise / services administratifs aux entreprises (BPO);8291Z - Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;Bretagne;1400000;;;550000;Changement de vie;;;Cette agence est chargée de recouvrer des créances pour 50% de son chiffre d'affaire pour des créances commerciales B to B représentant environ 5 % en volume et pour 50 % du chiffre d'affaires et 95% du volume pour des créances de particuliers pour des laboratoires médicaux et des hôpitaux.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18770;N°18770;;Entreprise structurée de Services à la Personne;Services à la personne / santé à domicile;9609Z - Autres services personnels;Île-de-France;1453000;;;810000;Retraite;;;Entreprise structurée de services à la personne, à activité récurrente de ménage et de maintien à domicile. Portefeuille clients diversifié, équipe en place et rentabilité normative attractive.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18769;N°18769;;Entreprise manufacturière destinée à fournir une clientèle spécifique;Industrie / production / fabrication;;Bourgogne-Franche-Comté;1060000;;;570000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18768;N°18768;;Fabrication restauration et pose de menuiseries principalement en bois;Bâtiment / travaux publics / second œuvre;;Île-de-France;3600000;;;800000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18767;N°18767;;Leader du discount de pneus neufs, d’occasion et entretien automobile;Automobile / 2 roues / nautisme;;Occitanie;1445054;;;750000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18766;N°18766;;CTA Peugeot et Citroen;Autres / non classé;;Provence-Alpes-Côte d'Azur;3400000;;;1200000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18765;N°18765;;Transformation et vente de matières plastiques;Industrie / production / fabrication;;Auvergne-Rhône-Alpes;340000;;;290000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18764;N°18764;;Cession d'une entreprise à taille humaine de génie civil;Bâtiment / travaux publics / second œuvre;;Île-de-France;1649000;;;1300000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18763;N°18763;;Société Spécialisée dans la valorisation de Déchets;Énergie / environnement / déchets / recyclage;;Bourgogne-Franche-Comté;4300000;;;4000000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18761;N°18761;;Conception et fabrication de produits de chaudronnerie plastique;Industrie / production / fabrication;;Grand Est;2663000;;;1400000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18759;N°18759;;Affaire de serrurerie, ferronnerie d'art et de métallerie industrielle;Bâtiment / travaux publics / second œuvre;;Centre-Val de Loire;890000;;;500000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18758;N°18758;;Entreprise artisanale de transformation agroalimentaire Bourgogne Sud;Industrie / production / fabrication;;Bourgogne-Franche-Comté;1700000;;;850000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18757;N°18757;;Fabricant - Poseur Vérandas aluminium et menuiserie;Bâtiment / travaux publics / second œuvre;;Occitanie;1331422;;;1240000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18756;N°18756;;Entreprise de menuiserie;Bâtiment / travaux publics / second œuvre;;Normandie;300000;;;80000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18755;N°18755;;Spécialiste reconnu de la pose et du levage de charpentes béton;Bâtiment / travaux publics / second œuvre;;Île-de-France;5800000;;;;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18754;N°18754;;Négoce de produits second oeuvre du bâtiment;Communication / marketing / édition / imprimerie / PLV;4676Z - Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;Normandie;1457865;;;810000;Changement de vie;;;Négoce de produits du second œuvre en développement depuis 12 ans dans un grand centre urbain, où il fait bon vivre. L'entreprise bénéficie d’une clientèle diversifiée et récurrente de professionnels du bâtiment, elle accueille aussi des particuliers. Sa notoriété lui a permis de devenir un des principaux acteurs de son secteur, notamment grâce à plusieurs partenariats avec des marques premium, de
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18753;N°18753;;Société de terrassement et d'assainissement;Bâtiment / travaux publics / second œuvre;;Centre-Val de Loire;927000;;;700000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18752;N°18752;;Travaux de rénovation, finition et amélioration int/ext des bâtiments;Bâtiment / travaux publics / second œuvre;;Auvergne-Rhône-Alpes;3045005;;;1800000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18751;N°18751;;Société de coaching collectif spécialisée dans le secteur public;Autres / non classé;;Île-de-France;225000;;;70000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18750;N°18750;;ONYX présenté par MERMOZ;Autres / non classé;;Auvergne-Rhône-Alpes;1400000;;;;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18749;N°18749;;Organisme de formation et centre de bilans de compétences;Formation professionnelle / organisme de formation;"7022Z - Activités des sièges sociaux ; conseil de gestion";Île-de-France;840000;;;290000;Autres activités en parallèle;;;Organisme de formation et centre de bilans de compétences, avec une expertise sur le handicap qui intervient auprès des acteurs de l’insertion, des associations et des entreprises. Son catalogue est riche de 47 formations dans 6 domaines, dont le management, l'accompagnement insertion et l'inclusion/santé/handicap. Il accompagne depuis 2003 le développement des compétences et la mobilité professio
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18748;N°18748;;Ébénisterie : menuiserie / agencement;Bâtiment / travaux publics / second œuvre;;Pays de la Loire;171230;;;50000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18747;N°18747;;Portefeuille d'assurances;Courtage assurance / intermédiation financière;6622Z - Activités auxiliaires de services financiers et d'assurance;Île-de-France;503569;;;700000;Changement de vie;;;Portefeuille d'assurances réparti équitablement sur trois marchés principaux, le particulier, le syndic de copropriété et les professionnels / entreprises. Taux de renouvellement annuel des contrats de 89%. Progression du CA de 5 à 7% par an. Equipe expérimentée et stable. Charges maitrisées. Profil recherché commercial expérimenté dans le service.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18746;N°18746;;Fabricant et Installateur de Menuiserie Aluminium;Bâtiment / travaux publics / second œuvre;;Normandie;1850000;;;800000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18745;N°18745;;Entreprise d'usinage mécanique de précision;Industrie / production / fabrication;;Nouvelle-Aquitaine;1000000;;;1450000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18744;N°18744;;Franchise rentable en commerce de détail - 3 centres commerciaux IDF;Commerce de détail / e-commerce BtoC;;Île-de-France;1590000;;;990000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18743;N°18743;;Entreprise spécialisée dans l'usinage plastique;Industrie / production / fabrication;;Nouvelle-Aquitaine;200000;;;290000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18742;N°18742;;Fabrication et vente d'emballages en bois;Négoce / distribution B2B;1624Z - Fabrication d'emballages en bois;Provence-Alpes-Côte d'Azur;8200000;;;2900000;Retraite;;;Entreprise reconnue dans la fabrication et la commercialisation d’emballages en bois, cette société bénéficie d’une forte notoriété sur son marché et s’appuie sur une clientèle variée et fidèle. Son positionnement s’inscrit pleinement dans les enjeux actuels, grâce à des produits à forte valeur écologique et respectueux de l’environnement. Elle dispose d’un important potentiel de développement, po
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18741;N°18741;;Franchise ATTILA : entretien et réparation de toitures;Bâtiment / travaux publics / second œuvre;;;1687678;;;650000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18740;N°18740;;Commerce de peintures et revêtements;Bâtiment / travaux publics / second œuvre;;Pays de la Loire;1670500;;;980000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18739;N°18739;;Installateur de chauffage Ventillation Climatisation Plomberie;Bâtiment / travaux publics / second œuvre;;;2161000;;;780000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18738;N°18738;;Centre de Psychologie anglophone;Santé / pharmacie / laboratoire / cabinet médical;;Île-de-France;750000;;;525000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18737;N°18737;;Entreprise d’aménagements bois extérieurs au savoir-faire reconnu;Industrie / production / fabrication;;Île-de-France;4876184;;;;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18736;N°18736;;Conseil et vente de prothèses capillaires en institut et en ligne;Conseil / expertise / services administratifs aux entreprises (BPO);9609Z - Autres services personnels;Île-de-France;1050000;;;700000;Retraite;;;Entreprise de vente par internet et dans un institut à Paris de produits de coiffures, perruques naturelles et produits capillaires. Affaire profitable, saine et très peu endettée, évoluant dans un secteur relativement indépendant de la conjoncture et présentant des perspectives de développement.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18735;N°18735;;Distributeur materiels agricoles : vente / entretien Bourgogne du sud;Communication / marketing / édition / imprimerie / PLV;4614Z - Intermédiaires du commerce en machines, équipements industriels, navires et avions;Bourgogne-Franche-Comté;8300000;;;2700000;Autres activités en parallèle;;;Distributeur de matériels agricoles, très forte réputation locale du fait de son ancienneté et de son SAV de grande qualité. Agent pour les tracteurs et concessionnaire pour les outils tractés . Belle implantation sur deux sites de vente : un au nord, l'autre au sud du 71.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18732;N°18732;;Biscuiterie en Bretagne Finistère sud;Autres / non classé;;Bretagne;815000;;;400000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18729;N°18729;;Production et négoce - produits de la mer;Négoce / distribution B2B;0150Z - Culture et production animale, chasse et services annexes;Bretagne;4000000;;;3500000;Autres activités en parallèle;;;Deux activités : - Production de coquillages : toute la chaîne allant des parcs en mer , du matériel de récolte , de purification, de tri , de conditionnement , jusqu'aux expéditions - Négoce de produits de la mer : approvisionnement , purification , tri , conditionnement , expédition sur la France et l'étranger La valorisation comprend les terrains et les bâtiments
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18728;N°18728;;Entreprise de rénovation de bâtiments, forte croissance et rentabilité;Bâtiment / travaux publics / second œuvre;;Grand Est;5986096;;;3500000;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18727;N°18727;;Epicerie fine Haute gamme;Autres / non classé;;Occitanie;1690000;;;18727;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18726;N°18726;;Location vaisselle, mobilier et matériel de cuisine;Négoce / distribution B2B;7739Z - Activités de location et location-bail;Occitanie;1380000;;;18726;Retraite;;;Société créé en 2001, l’entreprise loue de la vaisselle pour les traiteurs, les administrations, les sociétés événementielles et les particuliers puis s’est diversifiée sur la location de mobilier et de matériel de cuisine. Les deux fils de la dirigeante travaillent dans l’entreprise. L'un des 2 souhaite quitter l'entreprise La dirigeante a 71 ans et vend pour partir à la retraite
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18725;N°18725;;Foie Gras et Produits Gascons;Autres / non classé;;Occitanie;1710000;;;18725;;;;
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18724;N°18724;;Cession d'une société d'aménagement paysagé dans le Puy de Dôme;Bâtiment / travaux publics / second œuvre;;Auvergne-Rhône-Alpes;861000;;;700000;;;;
