source;url;ref;date;activite;secteur;naf;region;ca;ebe;effectif;prix;raison;dependance;doublon_probable;notes
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18774;N°18774;;Ingénierie informatique;Services informatiques / ESN / éditeur de logiciel;6209Z - Programmation, conseil et autres activités informatiques;Île-de-France;862000;;;350000;Retraite;;;"ESN (assistance technique chez les clients, domaine développements en Informatique de gestion). Domaines de compétences: 1 - Data (ETL, dashboards): 4 personnes; 2 - Internet et IA (dot.net, PHP): 2 personnes ; 3 - CRM Salesforce: 2 personnes; 4 - AMOA/AMOE: 1 personne. Pas d'endettement, pas de charges type locaux ou voitures, dirigeant actuel salarié. Effectif stable, profils jeunes, diplômés et"
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18771;N°18771;;Agence de Recouvrement de Créances en Bretagne;Conseil / expertise / services administratifs aux entreprises (BPO);8291Z - Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;Bretagne;1400000;;;550000;Changement de vie;;;Cette agence est chargée de recouvrer des créances pour 50% de son chiffre d'affaire pour des créances commerciales B to B représentant environ 5 % en volume et pour 50 % du chiffre d'affaires et 95% du volume pour des créances de particuliers pour des laboratoires médicaux et des hôpitaux.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18770;N°18770;;Entreprise structurée de Services à la Personne;Services à la personne / santé à domicile;9609Z - Autres services personnels;Île-de-France;1453000;;;810000;Retraite;;;Entreprise structurée de services à la personne, à activité récurrente de ménage et de maintien à domicile. Portefeuille clients diversifié, équipe en place et rentabilité normative attractive.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18754;N°18754;;Négoce de produits second oeuvre du bâtiment;Communication / marketing / édition / imprimerie / PLV;4676Z - Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;Normandie;1457865;;;810000;Changement de vie;;;Négoce de produits du second œuvre en développement depuis 12 ans dans un grand centre urbain, où il fait bon vivre. L'entreprise bénéficie d’une clientèle diversifiée et récurrente de professionnels du bâtiment, elle accueille aussi des particuliers. Sa notoriété lui a permis de devenir un des principaux acteurs de son secteur, notamment grâce à plusieurs partenariats avec des marques premium, de
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18749;N°18749;;Organisme de formation et centre de bilans de compétences;Formation professionnelle / organisme de formation;"7022Z - Activités des sièges sociaux ; conseil de gestion";Île-de-France;840000;;;290000;Autres activités en parallèle;;;Organisme de formation et centre de bilans de compétences, avec une expertise sur le handicap qui intervient auprès des acteurs de l’insertion, des associations et des entreprises. Son catalogue est riche de 47 formations dans 6 domaines, dont le management, l'accompagnement insertion et l'inclusion/santé/handicap. Il accompagne depuis 2003 le développement des compétences et la mobilité professio
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18747;N°18747;;Portefeuille d'assurances;Courtage assurance / intermédiation financière;6622Z - Activités auxiliaires de services financiers et d'assurance;Île-de-France;503569;;;700000;Changement de vie;;;Portefeuille d'assurances réparti équitablement sur trois marchés principaux, le particulier, le syndic de copropriété et les professionnels / entreprises. Taux de renouvellement annuel des contrats de 89%. Progression du CA de 5 à 7% par an. Equipe expérimentée et stable. Charges maitrisées. Profil recherché commercial expérimenté dans le service.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18742;N°18742;;Fabrication et vente d'emballages en bois;Négoce / distribution B2B;1624Z - Fabrication d'emballages en bois;Provence-Alpes-Côte d'Azur;8200000;;;2900000;Retraite;;;Entreprise reconnue dans la fabrication et la commercialisation d’emballages en bois, cette société bénéficie d’une forte notoriété sur son marché et s’appuie sur une clientèle variée et fidèle. Son positionnement s’inscrit pleinement dans les enjeux actuels, grâce à des produits à forte valeur écologique et respectueux de l’environnement. Elle dispose d’un important potentiel de développement, po
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18736;N°18736;;Conseil et vente de prothèses capillaires en institut et en ligne;Conseil / expertise / services administratifs aux entreprises (BPO);9609Z - Autres services personnels;Île-de-France;1050000;;;700000;Retraite;;;Entreprise de vente par internet et dans un institut à Paris de produits de coiffures, perruques naturelles et produits capillaires. Affaire profitable, saine et très peu endettée, évoluant dans un secteur relativement indépendant de la conjoncture et présentant des perspectives de développement.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18735;N°18735;;Distributeur materiels agricoles : vente / entretien Bourgogne du sud;Communication / marketing / édition / imprimerie / PLV;4614Z - Intermédiaires du commerce en machines, équipements industriels, navires et avions;Bourgogne-Franche-Comté;8300000;;;2700000;Autres activités en parallèle;;;Distributeur de matériels agricoles, très forte réputation locale du fait de son ancienneté et de son SAV de grande qualité. Agent pour les tracteurs et concessionnaire pour les outils tractés . Belle implantation sur deux sites de vente : un au nord, l'autre au sud du 71.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18729;N°18729;;Production et négoce - produits de la mer;Négoce / distribution B2B;0150Z - Culture et production animale, chasse et services annexes;Bretagne;4000000;;;3500000;Autres activités en parallèle;;;Deux activités : - Production de coquillages : toute la chaîne allant des parcs en mer , du matériel de récolte , de purification, de tri , de conditionnement , jusqu'aux expéditions - Négoce de produits de la mer : approvisionnement , purification , tri , conditionnement , expédition sur la France et l'étranger La valorisation comprend les terrains et les bâtiments
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18726;N°18726;;Location vaisselle, mobilier et matériel de cuisine;Négoce / distribution B2B;7739Z - Activités de location et location-bail;Occitanie;1380000;;;18726;Retraite;;;Société créé en 2001, l’entreprise loue de la vaisselle pour les traiteurs, les administrations, les sociétés événementielles et les particuliers puis s’est diversifiée sur la location de mobilier et de matériel de cuisine. Les deux fils de la dirigeante travaillent dans l’entreprise. L'un des 2 souhaite quitter l'entreprise La dirigeante a 71 ans et vend pour partir à la retraite
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18723;N°18723;;Négoce mobilier et décoration;Négoce / distribution B2B;4753Z - Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;Pays de la Loire;450000;;;190000;Réorientation professionnelle;;;Entreprise spécialisée dans le commerce du mobilier et de la décoration de la maison recherche un repreneur pour renforcer sa présence dans la ville moyenne ou elle bénéficie d'une bonne visibilité géographique. Dotée d'une surface de vente de 500 M2 et de 450M2 de stockage , d'un parking de 40 places avec 2 entrées -sorties , l'entreprise dispose d'un environnement idéal pour l'accueil des client
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18720;N°18720;;Négoce d'aliments et friandises pour chiens et chats;Négoce / distribution B2B;4621Z - Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;Île-de-France;1800000;;;1800000;Retraite;;;Cette société de négoce pur, distribue des aliments et friandises pour chiens et chats dans des circuits tels que la grande distribution, les animaleries, vétérinaires, salons de toilettage. Une opportunité rare sur un secteur porteur. Forte rentabilité . Implantée depuis plus de 30 ans sur son marché, sans aucune dette financière, elle dispose d'une trésorerie structurellement excédentaire. CA en
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18714;N°18714;;TOTEM, agence digitale et médias depuis 1989;Services informatiques / ESN / éditeur de logiciel;"7022Z - Activités des sièges sociaux ; conseil de gestion";Auvergne-Rhône-Alpes;750;;;850;Autres activités en parallèle;;;Agence de communication digital Créé en 1989 Hervé Bigal a créé cette agence et l'a développée. Deux axes solides Les relations média/influence et le digital. 1 relation presse & influence: conception et déploiement de stratégies de notoriété. 2 digital & SEO accompagnement dans la transformation numérique des marques communication de crise: anticipation, gestion et résolution des situations de se
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18711;N°18711;;Réseau d’instituts de beauté et centre de formation en épilation;Formation professionnelle / organisme de formation;4775Z - Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;Île-de-France;2329000;;;1400000;Retraite;;;Les salons de beauté Pyrene, réseau de 8 instituts de beauté (3 en propre et 5 en affiliation), commercialisent l’ensemble des soins des salons de beauté avec une forte spécialisation pour l’épilation définitive selon 2 méthodes : l’électro-épilation et la photo-épilation dont Pyrene a été le pionnier en France. Le centre de formation, créé en 2020, est dédié à l’apprentissage des 2 méthodes d’épi
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18710;N°18710;;Franchise rentable de services à la personne d’une enseigne leader;Services informatiques / ESN / éditeur de logiciel;8810A - Action sociale sans hébergement;Île-de-France;1500000;;;1300000;Retraite;;;Il s'agit de l'une des plus anciennes, plus importantes et plus rentables franchises d'une marque leader en France d'aide à domicile aux personnes dépendantes (partenaire du CRA) avec une exclusivité sur 3 zones très peuplées de Paris avec un fort pouvoir d'achat. Elle est d'autant moins concurrencée qu'elle bénéficie d'une barrière à l'entrée provenant de l'absence de nouvelles accréditations dir
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18704;N°18704;;Société de services à la personne;Services informatiques / ESN / éditeur de logiciel;8810A - Action sociale sans hébergement;;1340000;;;1300000;Retraite;;;Société de services à la personne implantée depuis 20 ans sur son territoire, bénéficiant d’une solide réputation locale et évoluant sur un marché structurellement porteur lié au vieillissement de la population. L’entreprise dispose d’un agrément couvrant la Loire (42) et d’une organisation pleinement conforme aux exigences réglementaires du secteur.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18702;N°18702;;Agence de communication;Communication / marketing / édition / imprimerie / PLV;1812Z - Imprimerie et reproduction d'enregistrements;Bretagne;935000;;;18702;Retraite;;;Agence de communication - Bretagne Agence de communication multi-activités : elle conçoit un concept visuel pour chaque Client et fabrique les Produits qu’elle leur propose. Print Petit Format, Print Grand Format, Fabricant d’Enseignes et de Supports d’affichage extérieur, Décoration intérieure ou extérieure. L’Agence est autonome sur ses créations et ses fabrications, ceci permettant une réactivi
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18698;N°18698;;Vente et installation ouvrants et vérandas;Négoce / distribution B2B;4752A - Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2);Centre-Val de Loire;1500000;;;300000;Retraite;;;Située en région centre, SARL indépendante concessionnaire de l’un des 3 plus grands réseaux leaders Français de la menuiserie et vérandas. Implanté depuis plus de 30 ans dans le marché de la rénovation destinée aux particuliers. Elle se compose de deux points de ventes avec show-room à jour des dernières innovations produits. Cette entreprise est animée par des équipes stables et performantes. Sa
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18697;N°18697;;Nettoyage intervenant en support des chantiers de rénovation en IdF;Propreté / nettoyage / multiservices;8121Z - Nettoyage courant des bâtiments;Île-de-France;1078000;;;550000;Raison Familiale/Personnelle;;;Cession de 100 % des titres d'une société de nettoyage de bureaux en forte croissance, qui intervient également en tant que prestataire sur des chantiers « à taille humaine » de rénovation de bureaux en Région Parisienne. Affaire transmise par un intermédiaire
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18695;N°18695;;Vente de logiciels BtoB gestion d’infrastructures IT / cybersécurité;Services informatiques / ESN / éditeur de logiciel;6209Z - Programmation, conseil et autres activités informatiques;Île-de-France;699443;;;500000;Retraite;;;Distribution de Logiciels informatiques spécialisés de Gestion et de renforcement de la sécurité de l’infrastructure IT, des données et des réseaux d’entreprises. Vente des services associés : maintenance/support technique et prestations de services
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18691;N°18691;;Groupe de magasins spécialisés création et distribution textile;Négoce / distribution B2B;1399Z - Fabrication de textiles;Bretagne;3000000;;;3500000;Changement de vie;;;Groupe structuré opérant sur un marché de niche à forte identité, bénéficiant d’une clientèle fidèle et d’un important flux touristique. L’entreprise développe et commercialise ses propres collections à travers un réseau de points de vente idéalement implantés dans des zones à forte fréquentation. Son modèle repose sur une combinaison performante entre création, approvisionnement maîtrisé et distr
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18689;N°18689;;Distribution de matériel médical;Négoce / distribution B2B;4774Z - Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;Île-de-France;1500000;;;1400000;Autres activités en parallèle;;;Société de distribution de dispositifs médicaux (lits médicalisés, fauteuils roulants, consommables) auprès d'une clientèle de particuliers et professionnels de santé - à la location et à la vente - agrément sécurité sociale.
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18686;N°18686;;Vente de produits sur le web;Services informatiques / ESN / éditeur de logiciel;4791B - Vente à distance sur catalogue spécialisé;Bretagne;300000;;;180000;Changement de vie;;;Projet de vente du fonds de commerce. le prix indiqué comprend l'évaluation du Stock estimé à 70 000€ Entreprise de vente en ligne de produits textiles en lien avec le monde maritime. Activité en B to C à 95%. L'activité du site internet est actuellement est actuellement en référencement naturel seul. ce qui permet d'envisager un développement important par l'achat de mots clés et de mise en place
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18684;N°18684;;Entreprise à vendre - Transporteur routier de marchandises;Transport & logistique (commissionnaire, affrètement);4941A - Transports terrestres et transport par conduites;Normandie;5000000;;;18684;Retraite;;;AFFAIRE TRANSMISE PAR UN INTERMEDIAIRE. La société est un acteur du transport routier de marchandises générales, implanté en Normandie. Elle bénéficie de plus de 25 ans d’expérience et d’une expertise reconnue dans l’organisation des flux. Elle se positionne sur des prestations fiables, réactives et adaptées aux besoins de ses clients. L’organisation des flux en aller-retour (backhaul) permet de l
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18683;N°18683;;Plateforme d’intermédiation admin. des artistes du spectacle vivant;Communication / marketing / édition / imprimerie / PLV;9004Z - Activités créatives, artistiques et de spectacle;Île-de-France;2916000;;;1200000;Raison Familiale/Personnelle;;;AFFAIRE TRANSMISE PAR UN INTERMEDIAIRE Cession de 100 % des titres d'une société qui gère pour le compte d’artistes l'intégralité des fonctions administratives, contractuelles et sociales nécessaires à l'exercice de leur activité dans un cadre juridique sécurisé
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18680;N°18680;;Entreprise de prestations de services et de fournitures industrielles;Négoce / distribution B2B;4669B - Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers;Pays de la Loire;1400000;;;2000000;Retraite;;;Au cœur des enjeux industriels modernes, notre philosophie repose sur l'alchimie entre réactivité humaine et rigueur opérationnelle, permettant de transformer chaque défi logistique en un succès durable. La confiance que nous accordent nos clients repose sur notre capacité à sécuriser leurs flux et à pérenniser leurs outils de production les plus précieux. Notre engagement est total : faire de cha
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18668;N°18668;;Bureau d’Études Environnementales;Bureau d'études / ingénierie / diagnostics;7490B - Autres activités spécialisées, scientifiques et techniques;;470000;;;220000;Retraite;;;AFFAIRE TRANSMISE PAR UN INTERMÉDIAIRE Audit et diagnostic écologiques • Études d’impacts • Évaluation des incidences Natura 2000 • Méthodes prospectivistes • Délimitation et caractérisation des zones humides • Suivi de chantiers • Demande de dérogation espèces protégées • Contrats d’abonnement par bloc d’heures
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18666;N°18666;;Cession d'entreprise de nettoyage industriel et de fin de chantier;Propreté / nettoyage / multiservices;8121Z - Nettoyage courant des bâtiments;Auvergne-Rhône-Alpes;1070542;;;1050000;Retraite;;;La société, située en région Auvergne Rhône-Alpes, est un prestataire de services de nettoyage spécialisé dans le nettoyage industriel et logistique, intervenant notamment pour l’entretien de parkings et de plateformes logistiques. La société est une référence en termes de nettoyage des sols en bitume et propose également une activité complémentaire de nettoyage de fin de chantiers, intégralement 
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18662;N°18662;;Production et négoce en BtoB d'emballages de toutes tailles;Communication / marketing / édition / imprimerie / PLV;4676Z - Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;Normandie;733000;;;105000;Autres activités en parallèle;;;Cette PME fournit en B to B des produits d'emballage (cartons et plastiques) à une clientèle industrielle ou commerciale pour la distribution de leurs marchandises. Elle assure en sus un service d'étude et de conseil afin de permettre à celle-ci d'avoir des expéditions sécurisées et à moindre coût de transport. Elle a sur le dernier exercice affiché perdu une clientèle qu'elle retrouve ou acquiere
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18652;N°18652;;Entreprise adaptée, leader en reprographie et impression numérique;Services informatiques / ESN / éditeur de logiciel;1812Z - Imprimerie et reproduction d'enregistrements;Île-de-France;;;;750000;Autres activités en parallèle;;;Reprographie, Impression numérique (sur presses et traceurs Grand format & Routage : 60 % du CA Prestations multi-services sur sites clients (services généraux) 40 % du CA
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18651;N°18651;;BRICKS, travaux de façade et restauration du patrimoine;Courtage assurance / intermédiation financière;43 - Travaux de construction spécialisés;Occitanie;2727228;;;;Autres activités en parallèle;;;La société est implantée dans le département de la Haute-Garonne (31). C’est une entreprise familiale et artisanale spécialisée dans les travaux de façade dans toute la région Occitanie depuis plus de 30 ans. Acteur local, l’entreprise est spécialisée dans les travaux de ravalement, de restauration et autres traitements de la façade. La philosophie de l’entreprise vise à la préservation et la réno
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18639;N°18639;;Création visuelle, impression et marquage publicitaire;Communication / marketing / édition / imprimerie / PLV;7311Z - Publicité et études de marché;Grand Est;281571;;;80000;Retraite;;;Entreprise implantée en Alsace, est spécialisée dans la communication visuelle, le marquage véhicule, toutes signalétiques et textiles à destination d’une clientèle professionnelle. Elle accompagne ses clients de la conception à la fabrication jusqu’à la pose de supports sur mesure (enseignes, covering, signalétique, supports imprimés). La société dispose des équipements et du savoir-faire techniq
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18637;N°18637;;Stockage de produits, Gestion de stocks et logistique;Transport & logistique (commissionnaire, affrètement);5221Z - Entreposage et services auxiliaires des transports;Auvergne-Rhône-Alpes;1877302;;;450000;Raison Familiale/Personnelle;;;Entreprise spécialisée dans le stockage et la logistique à travers des solutions de stockage sur-mesure pour les professionnels. Cette structure, créée il y a près de 30 ans, s'est imposée comme un acteur fiable et reconnu sur son marché. Implantée sur 3 sites idéalement situés en Auvergne et Centre France, elle propose une large gamme de services adaptés aux besoins variés de sa clientèle, allant
CRA;https://www.cra.asso.fr/opportunite-reprise.aspx?num=18635;N°18635;;Entreprise du bâtiment spécialisée en isolation thermique – MEL;Bureau d'études / ingénierie / diagnostics;4329A - Travaux d'isolation;Hauts-de-France;630000;;;420000;Problème de santé;;;L’entreprise est spécialisée dans les travaux d’isolation thermique (Extérieurs / combles / planchers) et de rénovation de l’habitat, dont les ravalements de façade. Clientèle de particuliers, principalement CSP+, sur le secteur de la Métropole Européenne de Lille. Son savoir-faire reconnu et sa forte expertise technique lui permettent de proposer des prestations de qualité. Ils favorisent le déve
